,year,month,day,T,I,D,ps,Aru_29,freq
20,2011.0,6.0,29.0,19.081333333333326,641.4822222222222,0.01076666666666667,-0.024536717045469388,0.7201233333333333,0.037451
22,2011.0,7.0,1.0,24.53366666666667,202.25111111111116,0.009912222222222222,-0.030784121837974163,0.32850333333333337,0.018942
23,2011.0,7.0,2.0,25.77966666666667,440.58555555555563,0.01174,-0.033675189537650065,0.4558588888888889,0.035286
26,2011.0,7.0,5.0,25.961444444444442,583.6133333333332,0.013702222222222222,-0.043271378221415725,0.46993999999999997,0.060019
27,2011.0,7.0,6.0,23.17811111111111,617.3488888888891,0.012678888888888887,-0.049826221672732,0.5861044444444443,0.054588
29,2011.0,7.0,8.0,23.844777777777782,589.18,0.011264444444444443,-0.07665190862130769,0.4040177777777778,0.035489
31,2011.0,7.0,10.0,27.23966666666667,373.5188888888889,0.011653333333333332,-0.12339107178747327,0.42778,0.033816
32,2011.0,7.0,11.0,24.49566666666667,496.89444444444433,0.006293333333333333,-0.1411025444330463,0.34049777777777784,0.001316
33,2011.0,7.0,12.0,21.632,494.2977777777778,0.010481111111111113,-0.19235287729408068,0.5662755555555556,0.034324
34,2011.0,7.0,13.0,21.006000000000004,619.5488888888889,0.011616666666666666,-0.25782782403317744,0.4984088888888889,0.05417
39,2011.0,7.0,18.0,25.76355555555556,398.03777777777776,0.006538888888888889,-0.1042564953552198,0.18641022222222225,0.001395
40,2011.0,7.0,19.0,26.996,570.3177777777778,0.011868888888888887,-0.09609113182765172,0.7254222222222221,0.035932
41,2011.0,7.0,20.0,29.03544444444444,565.5266666666666,0.014142222222222224,-0.13118894743939016,0.7159711111111109,0.05956
45,2011.0,7.0,24.0,21.972222222222218,164.7968888888889,0.005416666666666667,-0.6835181746978091,0.14734933333333333,0.001807
46,2011.0,7.0,27.0,21.586111111111112,113.41744444444444,0.007062222222222223,-0.8937123875108431,0.13461399999999998,0.013859
47,2011.0,7.0,28.0,25.017,337.0222222222222,0.00733,-0.8937123875108431,0.2683544444444444,0.012717
50,2011.0,7.0,31.0,27.249000000000002,600.7011111111112,0.014562222222222225,-0.13580582026970214,0.3752711111111111,0.072358
52,2011.0,8.0,2.0,23.07977777777777,93.465,0.00216,-0.2802756121455971,0.01692985111111111,0.0
53,2011.0,8.0,3.0,22.649222222222228,274.406,0.004472222222222222,-0.3224549646162844,0.204789,0.000106
54,2011.0,8.0,4.0,26.395444444444443,458.49,0.013743333333333331,-0.3923292927067553,0.5733488888888889,0.076873
56,2011.0,8.0,6.0,26.444555555555556,335.7877777777778,0.012102222222222224,-0.7535829123021537,0.4073988888888889,0.069349
57,2011.0,8.0,7.0,21.353444444444442,192.62175,0.003088888888888889,-0.5448699991381577,0.23076222222222226,9e-06
58,2011.0,8.0,8.0,23.35922222222223,374.02333333333326,0.012193333333333334,-0.6835181746978091,0.4113966666666667,0.078249
59,2011.0,8.0,9.0,22.424444444444447,444.11,0.007847777777777778,-0.6835181746978091,0.2347566666666667,0.016374
60,2011.0,8.0,10.0,19.287,522.59375,0.01069111111111111,-0.6835181746978091,0.31606555555555554,0.063712
63,2011.0,8.0,13.0,17.038666666666668,96.074,0.00046111111111111125,-0.6111019421142145,0.16499111111111112,0.0
64,2011.0,8.0,14.0,21.394222222222226,548.5355555555557,0.009586666666666669,-0.11629732563837945,0.5825966666666667,0.022381
67,2011.0,8.0,17.0,24.108,451.23555555555566,0.01066,-0.2466039299769677,0.5668144444444444,0.033247
71,2011.0,8.0,21.0,18.806222222222218,422.82285714285723,0.008201111111111109,-0.8937123875108431,0.2550855555555556,0.031739
74,2011.0,8.0,24.0,24.67355555555555,457.85444444444437,0.008531111111111113,-0.8937123875108431,0.2537511111111111,0.026092
75,2011.0,8.0,25.0,19.962666666666664,504.0077777777778,0.01017,-0.8937123875108431,0.5135977777777778,0.062799
81,2011.0,8.0,31.0,20.63188888888889,226.24,0.005144444444444444,-1.2408406270139254,0.05968133333333332,0.004422
82,2011.0,9.0,1.0,23.68333333333333,469.3025,0.007844444444444444,-0.8937123875108431,0.5906499999999999,0.019512
83,2011.0,9.0,2.0,25.822111111111113,177.5858888888889,0.00635,-0.8937123875108431,0.2419233333333333,0.005179
84,2011.0,9.0,3.0,19.947222222222226,356.36666666666673,0.00301,-0.05698767862281363,0.1044977777777778,2e-06
85,2011.0,9.0,4.0,18.447,323.535,0.0064244444444444436,-0.046358749471196614,0.3525488888888889,0.002617
86,2011.0,9.0,5.0,12.073111111111109,468.1344444444445,0.0060822222222222215,-0.03490726181481086,0.34214666666666665,0.003036
87,2011.0,9.0,6.0,15.121555555555556,501.62,0.009334444444444444,-0.03834625023805608,0.4569244444444444,0.026582
88,2011.0,9.0,7.0,18.98811111111111,491.3466666666666,0.012805555555555554,-0.043637667806824335,0.5254833333333333,0.068429
89,2011.0,9.0,8.0,21.95866666666667,477.1544444444445,0.014352222222222225,-0.052218383984708586,0.5768,0.08434
91,2011.0,9.0,10.0,23.162444444444446,447.7522222222222,0.011091111111111112,-0.08661024118197641,0.5743777777777779,0.035201
93,2011.0,9.0,12.0,25.81044444444445,446.8977777777778,0.01527777777777778,-0.15384959863738173,0.7665511111111111,0.090154
94,2011.0,9.0,13.0,11.899666666666667,242.1355555555556,0.004376666666666668,-0.19656921948091885,0.30030111111111113,0.000276
95,2011.0,9.0,14.0,10.867555555555557,329.92444444444453,0.006077777777777777,-0.2540865260144408,0.3608333333333333,0.004796
96,2011.0,9.0,15.0,10.066777777777775,357.08,0.004653333333333333,-0.3083951804593886,0.24516222222222225,0.000766
97,2011.0,9.0,16.0,12.600666666666665,319.60444444444437,0.007001111111111113,-0.35848788516847324,0.3603677777777778,0.011591
98,2011.0,9.0,17.0,15.793555555555557,468.30444444444436,0.009993333333333337,-0.3765043454445677,0.5040111111111112,0.046093
99,2011.0,9.0,18.0,19.308222222222227,426.21,0.012246666666666666,-0.43189166086222425,0.5766600000000001,0.078561
100,2011.0,9.0,19.0,15.028666666666668,78.73211111111112,0.0009125,-0.06691481516341526,0.09567244444444443,0.0
101,2011.0,9.0,20.0,19.53411111111111,324.92875,0.011414444444444442,-0.04676195486405226,0.4233522222222223,0.046054
102,2011.0,9.0,21.0,18.671444444444443,388.2377777777778,0.00681888888888889,-0.03706245571095355,0.3500988888888888,0.003815
