c,p50,param,ps
0.13368973639496332,0.631205865677421,0.34205021162154664,0.3451634023832949
0.11217370428326418,0.5980593271560627,0.39172635966240693,0.34964978186499474
0.14648165536449612,0.6441171054167845,0.3025376825309047,0.3488977066182902
0.13683638380057336,0.6406124359390687,0.3130210688650918,0.3436279876463911
0.13659804908737996,0.6370672975887123,0.31953494040821223,0.3426243267853981
0.13637380227221213,0.6371819621541356,0.31874714442051333,0.34275636797839265
0.13405484713853824,0.6336292122095494,0.33988133346431726,0.34396272564378866
0.11272517175417843,0.5964370663344668,0.3923697366586131,0.34927983453670597
0.12497100282864973,0.6276175047331886,0.36770843032439127,0.3466400359384848
0.1365189836592035,0.6380613406300455,0.31837928260121967,0.3424132635908876
0.10994755454087927,0.5903907895259947,0.39637742823321315,0.3507337272489713
0.06273584330019238,0.49972575397092317,0.5204307332739512,0.3362460831000936
0.13280746144013572,0.6325436357612737,0.3434876060034575,0.3438486187638782
0.12606014829045534,0.6282383489052901,0.3531942759286433,0.342908682695544
0.11682650778028093,0.6073580978299657,0.38228033611523493,0.35256856972790857
0.13688855701094332,0.6356634569120814,0.320774251623836,0.34444071334383314
0.15424718122223624,0.6413643727896376,0.2954200746063798,0.3478214077440016
0.1556781575407443,0.6506569800782739,0.2903901367004105,0.34601944422372377
0.13649357705702778,0.6371388843921227,0.31916399359186426,0.3426967439972956
0.13688029591984305,0.6356690935387257,0.32074501741154476,0.34444629850051695
0.16658053229911482,0.6569801770261535,0.2826277079963574,0.34741484132737366
0.17116064117357732,0.6601412901051252,0.2780934506786088,0.34608114859115424
0.17103122625848935,0.6597505602766598,0.2784165492488334,0.3440911631395086
0.1538540689840082,0.6494036515058361,0.2908438964280721,0.3472240352320898
0.1388008054313829,0.6329012132545739,0.3359518771327518,0.34125864891067637
0.13863834201300387,0.6311565737872196,0.326542283365627,0.34741901374869194
0.1381038116969804,0.6314020614723385,0.33214165413566876,0.34165439455832464
0.06148886952373268,0.49813990052156937,0.5287554259683066,0.33186343399930074
0.12470980647781665,0.6265927289780961,0.36474064372483495,0.3428838863655159
0.12004958903478777,0.619494359900996,0.3725584380026958,0.3454600874182495
0.14014300046868303,0.6334379178293799,0.32637830819940666,0.3423371042902882
0.13607884138274023,0.6322995575370085,0.33756400530702946,0.34381904054239804
0.13643836808060167,0.6371766966976974,0.3189678242773737,0.34273498011810527
0.1343057621471181,0.6346814876313442,0.34027561813614227,0.3432068641692061
0.14030641455069695,0.6328582425577488,0.32704596708749517,0.3420544252309916
0.11020693811817078,0.590578293675791,0.3977479314474842,0.35038796456915844
0.1163527987525235,0.6077704560030419,0.3844492912754174,0.3515928512012186
0.13856255941493734,0.6333466260018686,0.3258179775075097,0.3465999682411599
0.11394524227526037,0.5995386004269755,0.3875050317900722,0.35303572510627923
0.15447856743841945,0.6449121024627992,0.29330419819299175,0.3496608262713414
0.17094015233701146,0.6597014079202073,0.2781346104766244,0.3445295194038636
0.136574167921775,0.6381874715136755,0.3179136272606654,0.3424298013567569
0.12022015683291763,0.6105620754805269,0.38018308268591533,0.353251954018883
