Days,c,g1,kxmax,p50,L,ps
26,0.015069666027874375,0.21502994492310465,0.008279289801449949,0.39070725247798216,0.17832858181759023,0.21269069318070008
27,0.026808688419976322,0.2039965748391895,0.042692310508718544,0.3788118736835657,0.07565259663643573,0.2619826045686797
28,0.02903600001217606,0.2010224327893548,0.05102455291665553,0.3715847194239252,0.06532926013581491,0.28549534682563255
29,0.03241414572642516,0.19984737591630963,0.062203467973383254,0.3535776641743617,0.05267806297796783,0.32513497719656914
30,0.028652929018383982,0.20408108364054056,0.0482652112217471,0.36984055101724206,0.0677378922474726,0.2797157320041786
31,0.014970440784413747,0.21525118344213112,0.008075132344003132,0.39030914914430115,0.17980225533322733,0.2130943663488038
32,0.026606838447875023,0.2009803539790657,0.04361027771987745,0.38420917375033764,0.07564541649460901,0.26146210496504724
33,0.029157918707744694,0.19473563350650086,0.05473583718957422,0.3780792162879414,0.06309195937969081,0.29097361583935155
34,0.029877672510327434,0.19213473435540404,0.05838598132683068,0.3762985687504577,0.059614087867043135,0.3010253589627938
35,0.027898863265505988,0.1983629699030706,0.04890677787995096,0.381057707458251,0.06923791493349242,0.27530826302509737
36,0.02864376923092476,0.19753086871399325,0.05163186374061031,0.3779072028914898,0.06593563117728606,0.2835412475873278
37,0.02735458418156388,0.19996947573182533,0.04636076913922768,0.38181433498780176,0.0720601906463649,0.26904894631433385
38,0.015510285801486568,0.21422534461468665,0.00919936985602884,0.3923025095406841,0.1720423842169851,0.21116236536222788
39,0.013631300318109737,0.21626797927921917,0.005412437891665772,0.3989614918074214,0.20901320941975896,0.22327585929421961
40,0.019004202258944745,0.2106042737304306,0.017711747479720444,0.39046388435736207,0.1287105599028293,0.21174029808331107
41,0.021121521985944147,0.18998649043409246,0.024965586259362592,0.4129092865780686,0.11220822780780429,0.22886930309029926
42,0.019049123073527224,0.1902477915660229,0.020225934888483125,0.4113579057408088,0.12455791853941887,0.2183762196761673
43,0.0192673427664868,0.18590285773046272,0.021631095254116037,0.4121330017023283,0.12052544840460058,0.22052986236302188
44,0.02238973439683051,0.20770967417972663,0.028148213455391057,0.38717920444808973,0.10001782987207754,0.2276109737038505
45,0.0217597564607745,0.20635121660161843,0.026811504303932202,0.3913406530428854,0.10392901433035255,0.2237123930895509
46,0.02648440227262218,0.19826756157718278,0.04464537116643839,0.3887995805865576,0.07535962015257434,0.2615867499027122
47,0.017149305838651544,0.21313934823342956,0.01267035387804779,0.389217571282194,0.1497483073471611,0.20928795413315798
48,0.014208172081228826,0.1973756387021464,0.007659176429165929,0.4026284007383885,0.18649273102093253,0.21585234121590782
49,0.020533772236048572,0.18928030512935198,0.02341418144328809,0.4105953018502595,0.11508012483468308,0.226122411314343
50,0.015937692775103353,0.19097875069055592,0.01277796361906498,0.40307775967253,0.15158766113566305,0.21188694634642924
51,0.020875712824313712,0.20979643319263833,0.02322194604093417,0.3856933675730835,0.1106991142850136,0.21951404943456584
52,0.021380665361728383,0.20768823730231295,0.024892472717541407,0.38731233984107305,0.10659370962256788,0.22303938735524945
53,0.014464566862342904,0.18997881749270745,0.009526239283922478,0.40132638927946135,0.17029691626115043,0.21395858289034841
54,0.01541657349603988,0.21389132281297965,0.009024456844988817,0.3946729265151948,0.17426372496451392,0.2113981502688502
55,0.014611285903639679,0.19997955994442532,0.007809051590230183,0.4073973963795422,0.1876874588547452,0.21574043287484004
56,0.014198581487254665,0.19855493294963988,0.005799003025039576,0.40581610024903747,0.20658164394130027,0.2239701430348646
