c,p50,param
0.026811997403270747,0.39636060523922123,0.20073399362639796
0.022796955297491938,0.4222286768803411,0.17232624902848795
0.009547454347146022,0.39469346594764687,0.24089644146482225
0.008999170516386629,0.4972107176846551,0.17900698731571424
0.017451895551294134,0.5374988781531739,0.1251177362809324
0.0003133306394981717,0.5639683202788266,0.1453509345655793
0.010655937601020326,0.6701055732836966,0.05116425520636916
0.023152860626972038,0.6940813330635087,0.0387734349908239
0.005523278699032141,0.7488910365171785,0.039231402109997544
0.0031614514066057734,0.7436888232361867,0.06062472911548177
0.000693616618948713,0.6951871142401944,0.1020433734559583
0.009660713319478239,0.8190075459987651,0.018982165692691375
0.015124738217392896,0.7959319783428,0.03363467792560413
0.007776421280379588,0.7605169024473303,0.030644743460050486
0.004550133030506941,0.7450671463421844,0.04289466142284125
0.0007864063485049444,0.7367208681016434,0.04880930647675799
-0.0029173833792992543,0.0988096124010685,0.5039004670724351
0.0025851776631590456,0.07121007905334796,0.5994216407778165
0.000776143298045392,0.07885442758058248,0.5576690961536585
0.002379476121214053,0.15072507140921185,0.39260394474380084
0.004431653679083557,0.16556320537125568,0.36248191576579203
0.0029288049115235595,0.12079885417070828,0.46295687312543765
0.002421552670959765,0.15180151204736353,0.40742992536095146
0.004795117330360982,0.1689683077149159,0.35193179951015074
0.005372700623943846,0.199054973964149,0.2893618850714479
0.0016118484987140765,0.1272986371522895,0.4385194035666755
1.992888587925883e-05,0.05751101181611991,0.6349961624637737
5.509151839811663e-05,0.07080409674012315,0.5930001959694444
-0.0014983880192334345,0.10494080525192898,0.4923197161160141
0.016857847511854533,0.21673927474553603,0.2725997431593752
0.0012109469724295196,0.06482521206212936,0.6187303143605192
-0.002809674885411685,0.023438004070854807,0.7940992241967864
0.028577108129227327,0.23417695654876008,0.24173888682252398
0.00047982513558646645,0.12339845865318678,0.4442986794232043
-0.0011693115503168565,0.13976961472672322,0.41747238073010373
0.0047250414667634145,0.18981119355801668,0.2999373762023143
0.006905818466290457,0.19997763637175472,0.2912664009832691
0.020418826356793398,0.2229751684721241,0.26100761059271516
