Days,c,p50,L,ps
63,0.002758950561193804,0.0051947858054303495,0.9938755063985477,0.001116088112872453
64,0.0024703661774408683,0.004696707148530705,0.9947976413722557,0.000980423913514605
65,0.0036359615275607955,0.006887971514695385,0.9914265830194703,0.001742275881578718
66,0.0030802023669932997,0.005780771726762063,0.9929130319702693,0.001309001478523973
67,0.0026935255268296493,0.005081147824809541,0.9940859813468472,0.0010810356201609943
68,0.0033090890027364555,0.006221654187348934,0.9922721658101733,0.0014730572696813177
69,0.003439229399867572,0.006481840722003286,0.9919259921791796,0.0015755774971577094
70,0.00252845290384656,0.004795627205249862,0.9946102294961815,0.0010044225390849967
71,0.0020236025150090894,0.00393079036461646,0.9962030327560141,0.0008439427737061693
72,0.0018955759486251232,0.003703824824911383,0.9965817069143313,0.0008170301553849515
73,0.0019293907450895962,0.003764161882507864,0.9964828684445893,0.0008236130839338617
74,0.5084376123998702,0.6036041804933328,0.6774845625559184,0.850714088980737
75,0.0034080081993487677,0.00643033748072011,0.9919844070975384,0.0015816409417008816
76,0.37245931772141827,0.45340301072934813,0.5677165424487133,0.5737072592718053
77,0.0023718511260216943,0.004529164431910391,0.9951140577166148,0.0009433722928178182
78,0.0022756697557380218,0.004365400900813629,0.995420526896432,0.0009112705198121101
79,0.00638410435596377,0.013477686737276662,0.9853248318056105,0.004362048907543496
80,0.001838966588711601,0.0036016825822739735,0.9967441032369058,0.0008062166700432163
81,0.0012857391466084044,0.0025465253054162387,0.9981724568859714,0.000706044603945171
82,0.003480125387017428,0.006565288187193216,0.9918194106236399,0.0016098001149877387
83,0.7021981692167247,0.6174903557825131,0.7169219021399996,0.9329713295638093
84,0.0013397533012597946,0.0026535591022010885,0.9980399531575456,0.0007241359823697549
85,0.0038041598121454356,0.0072463242439701455,0.9910202443435571,0.001894331194266857
86,0.0030256764290087024,0.005677484301320141,0.9930348341785845,0.0012916202740002323
87,0.0015759976405371713,0.0031120822162396928,0.9974558723281383,0.0007611919805562128
88,0.5700842449401681,0.4973934229237092,0.5634469271514188,0.7028722298709874
89,0.00485860110655002,0.009704112518209249,0.9887094672384905,0.0029998685734006483
90,0.0021666383489272138,0.0041787037182881275,0.995763354235646,0.0008793105327822256
91,0.0014163529290443183,0.0028026051897559368,0.9978581404945398,0.0007254458724271951
92,0.004859296836125538,0.009707441886121378,0.9887079306208649,0.0030021907206022663
93,0.0039037763096989335,0.007462353165414629,0.9907874161342883,0.001987061482338162
94,0.0036374577817554414,0.006891089166299805,0.9914229125460297,0.0017435372877324879
95,0.003314443185597707,0.006232516636593394,0.992256451131876,0.0014783263948706233
96,0.00233636908782214,0.00446873875822558,0.9952272547637643,0.0009310636093844861
97,0.0016962987578591209,0.00333911490549109,0.997138930106256,0.000781036255130041
98,0.0021611295711741942,0.004169396246727715,0.995780978756319,0.0008779126539849022
99,0.001997843808877395,0.0038855471945720985,0.9962804283367752,0.0008382100467450672
100,0.002187467620664518,0.0042147319296829055,0.9956989695945251,0.0008851971914722407
101,0.0025169444610559947,0.004770058286169631,0.9946275522692117,0.001000584547080086
102,0.0026182257389654033,0.004950481851352422,0.9943250771337645,0.0010444195357029052
103,0.6396472170381607,0.6155677932631247,0.5192921272734395,0.8961225808116496
104,0.003496390715147346,0.006598755308038749,0.9917772662174635,0.0016237819853139887
105,0.0010934986163297997,0.0021634498713020106,0.998615250399084,0.0006745035449388301
106,0.0037225227149536295,0.00707083008601605,0.9912155097457658,0.001818848733154537
107,0.005052441173351245,0.010102334776629782,0.9882990050081142,0.003131115764817479
108,0.0012081841159402326,0.0023926735227419718,0.9983533504522497,0.0006938848089092046
109,0.0031295256532057605,0.005874010146543953,0.992770988907082,0.001342852231244591
110,0.0035416477171345048,0.006691424261285909,0.9916625158224757,0.0016607434190811178
111,0.005207488845682759,0.01047716476197809,0.9879677739016256,0.003286148110547909
112,0.6048235406691949,0.6133897242335318,0.5648439365085114,0.923097965152961
113,0.5227815844706732,0.7061309007143297,0.47916305521651364,0.7639691449465056
114,0.003171028296839434,0.005953284861412515,0.9926523295122727,0.0013725757148957882
115,0.6544462286272898,0.7420352328570002,0.5773735767252081,0.9166373742217908
116,0.003859887850561955,0.007365099963881218,0.9908899438321914,0.0019430419976023989
117,0.005016506381972829,0.010015536612409639,0.988375475358602,0.0030944045108559407
118,0.6599645575234392,0.6166684484675006,0.6034071645427964,0.9506878128131065
119,0.002463109897782629,0.004684673733866152,0.9948220592274262,0.000977537148932311
120,0.0022384762944911664,0.004302052875428215,0.9955385932928636,0.0008999334585074022
121,0.6293177824493488,0.43906648255527525,0.6218117834159648,0.8291763655432203
122,0.6295404862764652,0.6396952838594209,0.5918183075436143,0.8338791308723683
123,0.6190552470166013,0.6797444295479955,0.6100928651065437,0.8898059094520889
124,0.5218059263507706,0.5913063637142675,0.5690940955174003,0.7943228349819178
125,0.6623674181686644,0.566938281253689,0.5574322303297143,0.965827738040249
126,0.4448796748268192,0.4477679038744491,0.43685192018496993,0.6914420225715142
127,0.5799293296135964,0.49114341944401113,0.5499678334346121,0.8294274628153752
128,0.5678660660198384,0.6029072238248834,0.5955760879781833,0.855587622387583
129,0.5540630649889474,0.5750495994318396,0.6348472794931119,0.8390163336249177
130,0.5606187072676668,0.5552341425234604,0.5706001314196766,0.8830165314194048
131,0.5675439659463853,0.6044783574363071,0.6049924123838533,0.8945767283498406
132,0.6092289455429231,0.637600516324079,0.6412426502853297,0.9168661360675842
133,0.590438749016875,0.5595015062430362,0.6579978387629098,0.9141030501863529
134,0.539057661713016,0.6047323651523204,0.509853234587707,0.8411545454149071
135,0.5775989527492573,0.6606526491201371,0.69156037902092,0.9035321248085072
136,0.596318016609342,0.6075291827664846,0.6798099789408609,0.928171111711118
137,0.5309654211506537,0.5547299445843503,0.6205859807447777,0.8065940746288531
138,0.6048312333900204,0.5656097069640369,0.634041761719743,0.8127574599420894
139,0.5486232333361676,0.5641428643448361,0.47299663821804255,0.7100509141721082
140,0.0034940568081210208,0.0065937872658401574,0.9917835536095383,0.00162137302380539
141,0.522597994299956,0.7061796271717344,0.47906768255343535,0.7640360115048076
142,0.5923288803256757,0.540414967407255,0.5583040421658169,0.783347425039115
143,0.5541982163452729,0.6632075732970433,0.589826662846416,0.8217904343788702
144,0.6335796847328283,0.6385508005331684,0.6282501551420917,0.8820504753057752
145,0.5443398928660083,0.6081885164631833,0.6185662617762141,0.8834801160861524
146,0.5569941088782071,0.6260417411467039,0.7207183333706186,0.9176210394137508
147,0.5687120424482573,0.6117758689145179,0.6187768265451956,0.8776525070526039
148,0.5822140960883598,0.6485705422873218,0.5425496901707259,0.8643703574575229
149,0.6396495007036345,0.6155881010367149,0.5193161624986263,0.8961150000010547
150,0.5625378436012917,0.5801846196565679,0.6157848603629079,0.7801075965286699
151,0.6107870407018202,0.5971980354078764,0.5942304630473747,0.9005146566448204
152,0.0028971901412630837,0.005443135346007392,0.9934556406013263,0.0011928808996452154
153,0.002875238503123319,0.005403562903565714,0.9935229396713934,0.001179749601451732
154,0.7039733820496523,0.6915670011124225,0.5921208482976381,0.9851306945646745
155,0.5329681217252871,0.6123047998964004,0.5746453816474938,0.7954123173992667
156,0.0024847145776407207,0.004711184456169888,0.9947164322447594,0.0009874263427628383
157,0.002250717809014717,0.004322798110504108,0.9954994536909054,0.0009035532796691463
158,0.5659578827735889,0.6031961678245187,0.6538645081890254,0.9516002103824867
159,0.0030042110407664034,0.005638876855871682,0.9931334742577769,0.0012598423125811515
160,0.0051765980665510174,0.010400708160230818,0.9880340614209873,0.0032541472882356144
161,0.38696731504087417,0.5451866093043487,0.5688901816617702,0.722134141039193
162,0.00354527391349118,0.006698993724943039,0.9916532336264533,0.0016639960202307835
163,0.002093016662981496,0.0040518945626820705,0.9959920244386883,0.0008604141530773192
164,0.0016341917831641428,0.0032192739781360664,0.9972998468352268,0.000761116412958478
