Days,c,g1,kxmax,p50,L,ps
20,0.029933062958145764,0.3531745793465416,0.1981448905967583,1.0581043731474562,0.1474057911647397,0.1829539514176326
21,0.029728838686598875,0.3520792874745297,0.19736620139912187,1.0560532151213453,0.1494604304295678,0.18227188927861698
22,0.028844726504321277,0.3648490308385745,0.1878208419105292,1.035417956932759,0.15978604507726865,0.1843339663248882
23,0.03029975081834204,0.3356459178682477,0.206647908557348,1.072869683241038,0.1415637876615883,0.17922979175323397
24,0.018176854880786367,0.4614470334577462,0.10661212722038228,0.7400008716205998,0.2610745911443551,0.2304218708208524
25,0.026868654255770327,0.38289264770506304,0.17069713157254843,0.9905924385959286,0.18138491681272187,0.18766558538276246
26,0.00926658352734792,0.5044582882383384,0.06162784102738824,0.419001624453698,0.35527262364740225,0.27900637402155587
27,0.022590718790319753,0.4256225446440602,0.13559974090372878,0.8732326805487538,0.22326658663924723,0.2045829348460098
28,0.02461134285007507,0.40604162180583664,0.15138505232688143,0.9307303668742835,0.20441179664250958,0.19531114495261961
29,0.02710814650476904,0.38251955472915117,0.17212564625891713,0.9950399806772048,0.17881753745438672,0.1877645327578343
30,0.024105823020476532,0.4150888635696975,0.1460749050196802,0.9133763122813732,0.2088367244989079,0.1991626084601955
31,0.009163862844830173,0.505175385374651,0.060961436114456154,0.41378946790218996,0.3566489473910457,0.2790384748405165
32,0.02264869765237056,0.4201733575116799,0.13748947691217633,0.8791584650705785,0.22346837126749064,0.20193503745288044
33,0.025099042516723107,0.39121368463964507,0.15860712357213372,0.9519667407740191,0.2001962603246995,0.1894346951140075
34,0.025771176728408077,0.3809396499541912,0.16549499404095436,0.9724505780169214,0.19325392927672302,0.1859551827960227
35,0.023897992356133275,0.4068837903639465,0.14756863890816085,0.9159357081236909,0.21189562581378127,0.19560278760994365
36,0.024533284622594336,0.40058936110638904,0.15269343172017427,0.933568685389344,0.20568279845837897,0.19303762533571664
37,0.023336952376914508,0.4136048176868172,0.1427120416624031,0.8988934446322961,0.21707841334718958,0.19870903268507048
38,0.009724144219876319,0.5015971952893803,0.06448272254563141,0.441582437318411,0.3491495643378169,0.27821502920618724
39,0.007505619833724931,0.5097842347655922,0.050454502465928704,0.33259553424949023,0.3819456548696557,0.26714466896546335
40,0.01391996050948362,0.48126617253553083,0.08556541672643715,0.6064419899112745,0.30117898597592724,0.255162647240488
41,0.016932914897742648,0.4160187330818269,0.1010382060627851,0.7043771341831421,0.2913311504602794,0.2276866332996094
42,0.015376115718428953,0.4313382349158932,0.09133150656411837,0.6451926690850625,0.3071903494195742,0.2417910988696921
43,0.016270215550017293,0.42251685222378055,0.09461067372899633,0.6659292395851254,0.3025344032533699,0.2383756419124037
44,0.01812595898337831,0.4579324533099101,0.10729916907991088,0.7421918570162646,0.2625365876715074,0.22836613944919917
45,0.017524834072507905,0.45901271600626936,0.10464525429980179,0.72643677448173,0.2684923356361045,0.2302808579976871
46,0.022750256720196066,0.4148871813678663,0.13958471800046465,0.8859103632634667,0.2231093664322125,0.19935641926811967
47,0.011583123111975903,0.4939607999365812,0.07390644825646472,0.5187744286978478,0.3257538859858679,0.27105816769879315
48,0.009004021587555665,0.47414452250766,0.06007066409581374,0.4060264411288945,0.37599638438087557,0.27683791447987555
49,0.016681435756200756,0.41911950151876776,0.09792246154091631,0.687971064508012,0.29543304919105384,0.23282373791230185
50,0.011845924291485956,0.45291081563268143,0.0751131287603429,0.5267370952478442,0.34211025452579014,0.26811521011983325
51,0.016357153252656364,0.47010078576030645,0.0973089942856627,0.6852267473380421,0.2776996315321796,0.240450343456857
52,0.016884560395556993,0.4621320219942395,0.10080974165136845,0.7058782526467955,0.2726645599822848,0.2351217149915511
53,0.010291716732411797,0.4556343439875882,0.06639732126548466,0.4585545151077921,0.36544215121627577,0.2768079869863022
54,0.009577036650475029,0.5012805953948889,0.06392866857628716,0.43640072583290335,0.35133992429036526,0.2778960973833045
55,0.008908716885162453,0.47752756601801133,0.06041436681071757,0.4068733958153372,0.37461406820048104,0.2760112407496398
56,0.00790499969831098,0.47777591998464963,0.05262599140754523,0.350098879572976,0.393922698867951,0.26990466730485174
57,0.011419874834677778,0.4448859333620521,0.07303468099040292,0.5102087223764297,0.3522143311966821,0.2704382970507061
58,0.011176405886380601,0.4447083009687255,0.07167391546959125,0.4996362197204581,0.3561384296762784,0.27197892515178257
59,0.010397580596221903,0.44989632203221214,0.06740803282593497,0.46587452928524953,0.36605469939698193,0.27573004172001636
60,0.010087291888270645,0.4992843792444707,0.06665441480257157,0.45887373620418903,0.34448511433356316,0.2768909170934242
61,0.013488799082590274,0.483474607026758,0.08346019197106634,0.591280509492688,0.3055004690509898,0.25807432057069907
62,0.006377791734911063,0.5004567214268497,0.04058501409115054,0.2701699991282511,0.4075259242868784,0.2417652566968439
63,0.005464357129744958,0.5058389843757608,0.02940172358910261,0.21534258288815186,0.42038960861337593,0.20758361750437565
64,0.007391886174519731,0.5104560279508311,0.049470831732583924,0.32591506876813786,0.3837034874641042,0.2653620189387577
65,0.00807575437427957,0.5078080022459456,0.05453914567735637,0.3624904530405945,0.3730744215858491,0.2736541531794945
66,0.007783646681334357,0.5094651640323411,0.0522441726338637,0.3459718659501035,0.37754519698982913,0.2707051758197026
67,0.005531184596640126,0.5057023383781875,0.030262731153404755,0.21909887162046562,0.41938736706551977,0.21032768551691625
68,0.007636049708615159,0.5104482124924743,0.051024049935809335,0.3374485254968768,0.3797577646821657,0.2688302021714954
69,0.0077374995768905944,0.5098608910725191,0.051863712523574995,0.3433067968239976,0.3781934957823744,0.27016772548883516
70,0.005626124216204125,0.5043343125873622,0.03157886138209461,0.2249515457403037,0.4185760533365642,0.21442167998758338
71,0.006740161420594645,0.5128975694060894,0.043960176156617285,0.28976488887573904,0.3938496996805944,0.25221616573948674
72,0.006603998287787695,0.5032122185557244,0.04231751059805835,0.2798630692897074,0.4020271378697563,0.24588556955185248
73,0.006290209241161787,0.5023230939184766,0.04009219339353703,0.2667002186220666,0.4075110699980983,0.23998078335503376
74,0.016276282507456327,0.46679940850590057,0.09784222377059973,0.6867464909304154,0.27949642251345186,0.23835064808142498
75,0.005424111062648369,0.5016027718761019,0.02810485400824061,0.2110378358692283,0.4242828325843025,0.20398363753295196
76,0.010206528783034375,0.4697482864849396,0.06799831619256101,0.46737020997161,0.3568645122447253,0.2736957664183744
77,0.0065168236777273444,0.5056758887148114,0.041516744916897386,0.2753126228511913,0.40190460070605866,0.24363029848181603
78,0.005322846091700307,0.5089145785863455,0.02799596919001256,0.2086356443387007,0.4203909729713166,0.202800540250748
79,0.009476924804194643,0.5019032636419294,0.06330915775051568,0.43148678741204083,0.35267442138947297,0.2781168153553532
80,0.006344907836594464,0.5023680607525867,0.040540054239493944,0.26920729582190667,0.4064088844362058,0.24123828433696468
81,0.0038725406947614093,0.5253840788692254,0.0068461724560957594,0.1337827857121901,0.431251649004058,0.13860094839140025
82,0.007976223153704753,0.5083806044393548,0.05377243418157815,0.356909968154648,0.3745865697533709,0.2727680368346965
83,0.0125030802416614,0.4533678125464018,0.0784291575250012,0.5497719330471832,0.3336893221286114,0.26114649078272895
84,0.005564705687829496,0.5089917731487101,0.03188632730565714,0.22473643552263553,0.4158125026460703,0.2146437705934396
85,0.00691289955960302,0.4947676685088069,0.04587166838269511,0.3017672158114214,0.4009989417313472,0.2556495244800054
86,0.005305520868021707,0.5039335986797947,0.026911164237466093,0.20551259087081092,0.42443254534683045,0.19995455875244467
87,0.005590281472830559,0.5088058705810259,0.0322194394493929,0.2262597927373185,0.4154933677301981,0.2156913360610056
88,0.01425566718215552,0.4783929851496163,0.08744545678347034,0.6191611376240522,0.2982032020810986,0.2521607908889271
89,0.00583573216314933,0.49530987720701364,0.0328568640249069,0.23303329601756878,0.4217082663693934,0.2192839435402523
90,0.005612776159357012,0.5062221761631813,0.03192928513996517,0.2258025658578131,0.41720117678653174,0.215176629549716
91,0.004215974288711194,0.5229535193269743,0.01261228334394375,0.1517045492600285,0.4275992038338872,0.15520419324252985
92,0.005887111279790365,0.494373892020907,0.03357038719784198,0.2363534696939405,0.42131888496365993,0.2214479895557945
93,0.008412816099852422,0.5058079255125448,0.05703126072301965,0.38102338528594876,0.3680537149755528,0.27584471402648403
94,0.007139825442839125,0.49490973833019575,0.04788577089839995,0.3146520987619609,0.39664684364578656,0.2602788332497548
95,0.008013782138010784,0.5080090080015721,0.0540693697314999,0.35904069631096364,0.374085481029493,0.27307970244488433
96,0.0066749985884558445,0.5134157653846244,0.04328868559517153,0.2857575026149504,0.39477243323705974,0.2504981887023515
97,0.005159868154102111,0.5124103737320082,0.026365557448430013,0.2010584263235996,0.42033408969796915,0.19722081118729895
98,0.006737331760351081,0.5129954295212193,0.04392879903792774,0.28958192207231853,0.3938513364262084,0.2521537332667195
99,0.006734801806327314,0.5127924871680737,0.04390948343713022,0.2894470681981103,0.39399845598846167,0.2520461939283098
100,0.0066050900913866,0.5088158935157535,0.04268849080299763,0.28170635561902485,0.39815531534682813,0.2470429889411319
101,0.005464334437184533,0.5054648890577194,0.029436374279570986,0.21548475831472289,0.4205935645319195,0.2076663435824291
102,0.007269315890675816,0.5111697295972496,0.048381217801207264,0.3186528013699898,0.38560542013380855,0.2632202848344371
103,0.013765527113681406,0.4832723024614543,0.08448007182090433,0.5994018815926708,0.3023565208108564,0.25720790644931274
104,0.00812662110198868,0.5074937544086887,0.054926025271434524,0.36532663562887957,0.3723154606736911,0.2740596853812381
105,0.003690570635935428,0.5313605253225281,0.005500964467933829,0.12748906923113099,0.4287559430357074,0.1332869832987601
106,0.00808834645211029,0.5077330668759867,0.05463515943333829,0.3631932677854809,0.37288494269855665,0.273757705332584
107,0.008983943990134418,0.5049956836231473,0.06014383187612197,0.40661886145103426,0.3594111390427225,0.27838923118972464
108,0.0037597538457502075,0.5273749855447354,0.005457383584636137,0.1287371413189776,0.4312603741277676,0.13408265847735287
109,0.006835636979345837,0.49682378392094173,0.04495295454081788,0.2962533467274962,0.4014467038841311,0.25364720209033165
110,0.007905858945334243,0.5088334395993361,0.053219078905574604,0.3529270431549421,0.37563741511398024,0.2720787032879014
111,0.00918168249771943,0.5037695477270784,0.06143735700813888,0.41672694076535677,0.35666713997637706,0.2784611217056124
112,0.020410892831163187,0.44099248825276927,0.1213679594856587,0.8119352795471587,0.24300254987338238,0.2145807858395923
113,0.011561867459348257,0.49411502770087706,0.07378969945896842,0.5178724394532214,0.32598420448070914,0.27121476031867275
114,0.00740459958989817,0.5103864774427549,0.049581858521117655,0.326663726434237,0.3835040564045961,0.2655714995168281
115,0.012003750105802884,0.49103140297962666,0.07619813954634484,0.5363487405391563,0.32122358165939374,0.2678766963801229
116,0.007828387452136997,0.5093090330098342,0.05260127839184416,0.3485167790217478,0.37680981432166666,0.2712448425207442
117,0.008854849015321872,0.5058010996747311,0.05927908020370131,0.39991679968929134,0.3612256748802786,0.27819598846972315
118,0.014783293890101593,0.47851872547916896,0.08937481322796284,0.6338688915491433,0.2922854411286144,0.2506811438573719
119,0.00718668092307744,0.5117329425607979,0.04762565367153791,0.3137118293765739,0.3868466609677036,0.26165741934066583
120,0.006370588618547101,0.502889590466833,0.04034432448439596,0.2682403909982469,0.40601487952174875,0.24064311395206742
121,0.014514505607364859,0.47764445619988505,0.08861412835775473,0.6274793826799536,0.2955289493278264,0.2507728594501343
122,0.021246098277585158,0.4279065546619367,0.12880462724614997,0.8425635746978882,0.23686324956045568,0.20662392611425043
123,0.02071661012522548,0.4335594678419542,0.12482357658243541,0.8257609019882388,0.24132750812345227,0.21011810656432292
124,0.01273780877757099,0.4868936800027592,0.0799047798495867,0.5646255558267544,0.31338475313943337,0.2627835746596156
125,0.010173602528372117,0.4714208029328159,0.06754017237736837,0.46365030048814176,0.35681330731318117,0.27369351863743874
126,0.011782267640630787,0.4925832106923108,0.07499343544706744,0.5271493092282742,0.3235870848033793,0.2695788078982302
127,0.014786472277252227,0.4775363000002444,0.08963572981944337,0.6351262609222851,0.2925400766139531,0.24993104201890934
128,0.020390258471984314,0.4423226780958837,0.12091079675179976,0.8102382715972163,0.24293251834903823,0.21534112700239083
129,0.023402229724031474,0.41717095525484355,0.14198526245965667,0.8973096007048815,0.21597610368858253,0.20026132026189075
130,0.024887191361427728,0.40053327015922213,0.15451969416488592,0.9405062479421178,0.2019151234179088,0.19309940025919156
