b,c,g1,kxmax,p50
0.48579255753334905,0.5515166633111446,0.6080643062660275,0.7086079426603267,0.8738825787227044
0.49288113734875216,0.5849748450451001,0.6315035496707728,0.7061796682597833,0.8833457411886493
0.49102659023721407,0.5981298864735514,0.6741651637205823,0.7228801984649383,0.8842414730720645
0.47333968920688513,0.5330562893907638,0.6300511484024657,0.6982386682775836,0.8977020288566235
0.5001606188038407,0.5481275944540613,0.6471175425283221,0.7042900937934122,0.8803039785548588
0.48790740461250337,0.5560043835700137,0.6547722513009768,0.7336948502454597,0.9046144999679366
0.497501597012694,0.5992496037610153,0.6719222709738318,0.7340490370714363,0.9174452797997021
0.49803737299067524,0.5620632665090408,0.6482806895172756,0.7429173249900511,0.8845567821722206
0.4910585761011438,0.5818060886114477,0.648774593295481,0.7070127021260103,0.881429892195538
0.513156035835506,0.5769761363865017,0.6433277645495223,0.724904675857449,0.9061777982711311
0.5112649271394519,0.582121829278971,0.6644172134235712,0.739438695164208,0.9152072237320348
0.5296383727101972,0.5903488935583492,0.6607699082213147,0.7179842724750387,0.9058052663556544
0.5228211272242089,0.619417620689032,0.6463914973185684,0.6943588664006262,0.8735880282920898
0.5055502835583242,0.5675313328421453,0.6355234242478095,0.7098313498491657,0.8728458623377168
0.5208461305517349,0.5679983623583202,0.6864741766342175,0.7629238601647994,0.924002922928857
0.5289569653866661,0.5986914046644783,0.666634835693776,0.7451001173050885,0.9131834907334807
0.48545371469067183,0.587656066768405,0.6526433660566306,0.7372288695497082,0.8834985444684893
0.5038901208182536,0.5690662302921058,0.6407378217142908,0.7321284376346539,0.9139620563104454
0.49566369350655437,0.5653828206968096,0.6670741017766542,0.730358561542048,0.8972749814078038
0.4967244841026351,0.55566243555155,0.6363826606125841,0.7258923434044928,0.883956767786548
0.5085108782809177,0.578951125141599,0.6340280750383491,0.7157489284472263,0.8917828493921712
0.48026556947166077,0.6108463156209766,0.6719130532933774,0.7262200570066876,0.9001061856906071
0.5087632475250874,0.5658301859875621,0.6620699943923168,0.7365720222958342,0.9098257671151084
0.4932603829435673,0.5791567628328517,0.6164888531779502,0.6955993469022655,0.8856446305205944
0.4895387238958167,0.5435898902294556,0.6095594487210801,0.735124166369712,0.8675321639532313
0.48642013448852417,0.5646355487725905,0.677195617142181,0.7578309767450742,0.92976506760066
0.5027572907190304,0.575251889993294,0.6993160610049939,0.7472163285029384,0.9298048182518273
0.45920275172809083,0.5635033908104374,0.6409429372409667,0.7355243589962659,0.9198288888514962
0.54224329408776,0.6090704673427917,0.6344963715978763,0.731052549463695,0.9242336583795246
0.4878842145707181,0.5674309252900114,0.637193211550886,0.7015219239738018,0.8962481527786729
0.5098334493740192,0.5800346789755552,0.6571462246893572,0.7511436341786567,0.9221338355243471
0.5207040337878991,0.5790408486454297,0.6794670560310778,0.7491215661963857,0.9006814893949837
0.48550384019662085,0.5467642974219539,0.6281824588994062,0.694025962719675,0.8893967445035322
0.4871631109663177,0.5665009248066376,0.6251362343675896,0.7099333890669319,0.8792484504731597
0.4906325098748802,0.5635975488647383,0.631456541741844,0.7258853820673742,0.8792680930710431
0.511904941791828,0.5683040929809411,0.6410061975121344,0.71998321419752,0.8957390768285309
0.5110009063818016,0.5848773349627442,0.6519761327770061,0.7479485174777047,0.9347300074213117
0.5194131592969661,0.5856953360459937,0.6615246575575134,0.7408318534342221,0.9005495074089518
0.49188285230270473,0.5871584063622448,0.6609974002511263,0.7296880381826516,0.9205069319975261
0.4753494300274762,0.5785495089051266,0.634985801218731,0.7320361808074224,0.896677168097332
0.51217588285275,0.5715855655217509,0.6728642679252392,0.7618919755283476,0.8937266410442741
0.5021569596826441,0.5638476192483488,0.6346591428993063,0.7280755268042806,0.9104649052974655
0.4858862300056583,0.5586552806953349,0.6718296934594982,0.7584007685231046,0.957733354240862
0.514578044844831,0.5757984447795874,0.6638908758234981,0.7862632432394464,0.9559830847141142
0.5448677991783163,0.6381752527996463,0.6909789180483621,0.7955643095046357,0.9569609463124821
0.4977998976100224,0.6007215634037715,0.6839487302884604,0.768470351244109,0.9380788105348726
0.5121086924020599,0.6269618320653446,0.7053054403787135,0.8141757935363211,0.9734560595279886
0.48255939542014936,0.5945136543094464,0.6327378053741021,0.7571287108920971,0.93158728578348
0.49701429579452716,0.5957954088918884,0.6564359339440305,0.7377961121458807,0.9647944437961413
0.4912855412369879,0.5930202963610569,0.6734482753592683,0.7729221188139291,0.924334442276634
0.4865536515906812,0.6188093632975505,0.6357832630964055,0.7089246881332109,0.8782350609837494
0.5324207149276987,0.6144862777578569,0.6234052016212949,0.7093229883578915,0.8944197044747199
0.5088801978066072,0.5761763661060718,0.6403826831806976,0.6842202395292178,0.8677908307621233
0.5155129495808007,0.6123566575125683,0.6711843015801237,0.7020040514784698,0.8698747994373532
0.5151207611881772,0.5702056057243112,0.640091862087668,0.7282722988779845,0.891591531206224
0.5224665133507553,0.6259926927941497,0.648757610089683,0.673394373590813,0.8593791963065917
