qt=0.05,qt=0.5,qt=0.95,date,ps
-2.68986031037744,-2.3326564064747215,-2.1793566729021037,2015-07-21,-0.0801338810750522
-3.018988250834193,-2.5924762031089053,-2.42500325588262,2015-07-22,-0.09696441710275557
-3.001245194169007,-2.576921019128246,-2.4116569104128054,2015-07-23,-0.11039587581088108
-2.9119751225067843,-2.5057776841969948,-2.3447490769177115,2015-07-24,-0.13415694585798074
-2.8481843149830226,-2.4587250956061517,-2.2988977116495555,2015-07-25,-0.14192164925106474
-3.0506828859204775,-2.6188601184855393,-2.449516816117956,2015-07-26,-0.1690141383898651
-3.1037988334928315,-2.6515500292609078,-2.4797996999167453,2015-07-27,-0.2096437184268886
-3.0590492368108237,-2.62619037953366,-2.4569087805775354,2015-07-28,-0.22561011381386112
-3.101041886881559,-2.653637200642632,-2.483906940096801,2015-07-29,-0.27927657233461023
-2.9830772234619327,-2.578770790268222,-2.4208125502606888,2015-07-30,-0.38678766877477505
-3.0096570148922788,-2.600538954000222,-2.4401915021676097,2015-07-31,-0.40671769967165233
-3.0233961356969266,-2.6178395672243004,-2.4574119808167385,2015-08-01,-0.4915940852071638
-1.0636144523876219,-0.9703446797686587,-0.9307260800251721,2015-08-02,-0.25139489931868203
-2.4943037673972053,-2.189812538834571,-2.061671719068131,2015-08-03,-0.19178465949713466
-2.521551555354602,-2.2130089109412108,-2.0800349325999106,2015-08-04,-0.1946405527431877
-2.926409178707009,-2.520052972040853,-2.360327387289033,2015-08-05,-0.19908850403132017
-2.880306650480449,-2.4906976246562023,-2.3350124259212635,2015-08-06,-0.23928380983911468
-2.9386223439143273,-2.5348863592904816,-2.3756935672048436,2015-08-07,-0.2490453820278208
-2.602332749726253,-2.2848678528359967,-2.1505495623316833,2015-08-08,-0.2649913238117579
-2.8326120869394664,-2.4626071882476546,-2.309899477084852,2015-08-09,-0.28368500909756156
-2.2863632553312145,-2.0361912340305524,-1.9295664277482116,2015-08-10,-0.32592808327727696
-2.6876247854199633,-2.3667763894146403,-2.230404755709118,2015-08-11,-0.37498962445377276
-3.029525021421303,-2.618278221264338,-2.4564400315202803,2015-08-12,-0.4264113733020272
-2.793949265448026,-2.4647454302549585,-2.326525385954321,2015-08-13,-0.5704584675857083
-3.0674478299445247,-2.6488761328701975,-2.4855849093833093,2015-08-14,-0.5870124504217618
-3.1987468067308056,-2.7222525690588983,-2.5587345876794942,2015-08-15,-0.65124496921774
-3.17939731366991,-2.7198653421746894,-2.559945142810508,2015-08-16,-0.8607565408830601
-2.980313705026726,-2.609293514426952,-2.4597470285031964,2015-08-17,-0.8602312541456548
-2.5089008951799148,-2.3041209850983493,-2.2092277981771735,2015-08-18,-0.9237871213843382
-3.1529351387559847,-2.7213334636702378,-2.5661233453405115,2015-08-19,-1.1469111311684326
-2.9367836867507675,-2.618902038610188,-2.4852278273396315,2015-08-20,-1.3118156337874034
-3.178549963030991,-2.7097912384513507,-2.5480090099298986,2015-08-21,-0.6410768650971295
-3.166860972437184,-2.7137718404188123,-2.555042149132588,2015-08-22,-0.8686952393741124
-1.928893981704236,-1.7086772542539461,-1.6177413799320806,2015-08-23,-0.17565900169389184
-1.4608378396826827,-1.2897015136822776,-1.21848086354712,2015-08-24,-0.025527005698892536
-1.18109646117782,-1.0472228187484252,-0.9907716505244272,2015-08-25,-0.024945500293863734
-1.513765623949188,-1.3351547904406458,-1.2610149768737986,2015-08-26,-0.024933934089911985
-1.8484097823722287,-1.6204757582428102,-1.52627025488326,2015-08-27,-0.026087710820861434
-2.214926877924729,-1.9320739392158808,-1.8120587738590268,2015-08-28,-0.02845343617913695
-1.6504996500612479,-1.4529910305963072,-1.3712080136654854,2015-08-29,-0.028404546673165016
-2.1335526864628345,-1.8613635899419227,-1.7468759814151884,2015-08-30,-0.029419484530863255
-2.119493427089717,-1.849284022910665,-1.7365968957361513,2015-08-31,-0.031398844514645134
-2.3389247800478707,-2.0373347264114776,-1.9085043029371302,2015-09-01,-0.03438178730576085
-1.6234005650150314,-1.4310881985401587,-1.3511905921713636,2015-09-02,-0.036381535665637184
-0.9449772331823446,-0.8406944029849425,-0.7962005389169133,2015-09-03,-0.030580423253159517
-1.3667530021943308,-1.2092334384682542,-1.143185130461914,2015-09-04,-0.029992142478345595
-1.4069997047949103,-1.243934492658151,-1.1757088324150062,2015-09-05,-0.02862732595409606
-2.5629167255429715,-2.2202423485446916,-2.0755790354579835,2015-09-06,-0.028696443675544542
-1.236067195788408,-1.0955517867446285,-1.0362150892479214,2015-09-07,-0.02947196928664696
-2.9151670537686916,-2.4988081685195755,-2.33464289755562,2015-09-09,-0.018101932150280862
-1.6324261280306243,-1.4366065227402345,-1.3556042976453835,2015-09-10,-0.022101977549426794
-1.9907431412393315,-1.7406786810323351,-1.6365180298512965,2015-09-11,-0.024303281773656205
-2.5733046785718314,-2.2286535216018546,-2.0820567720703984,2015-09-12,-0.025838704666098337
-2.5784094776892723,-2.233310101467916,-2.08601726509306,2015-09-13,-0.02838597483086011
-2.8102556198494257,-2.41915624904925,-2.259893471463812,2015-09-14,-0.02897863463331334
-2.6818246516044564,-2.3174410987423806,-2.1642421078399137,2015-09-15,-0.030783400189971343
-2.7969456163481383,-2.4090944642813135,-2.2535352067924554,2015-09-16,-0.0325503656101636
-2.738382652295242,-2.3667584710380662,-2.2075315273593143,2015-09-17,-0.033614362833795604
