Days,c,g1,kxmax,p50,L,ps
55,0.04029373633036298,0.224556110458601,0.07415491906706419,0.2831131613980827,0.03565320140863087,0.40090076246247747
56,0.04249492761714213,0.23418070506818733,0.07633917652257677,0.26342794581806395,0.03230354467257432,0.4204108286738159
57,0.0409925050439216,0.23139255484031765,0.07311426742906678,0.2746981279969386,0.03517998790544763,0.4032652533982247
58,0.03863381116093847,0.21283526210765,0.07474109029954215,0.3014078978607485,0.0375547828537499,0.3911841893617318
59,0.03423847253372784,0.20814786882113936,0.06362914699717556,0.3359370235280161,0.04877630868230093,0.34104913929879194
60,0.034389377295982786,0.2066765417105751,0.06484162187872643,0.336128372478723,0.04798056473802692,0.3442279931155323
61,0.033974156821135075,0.20659458013834422,0.06359336922751059,0.3389402015653861,0.04924584922022521,0.3389781522794558
62,0.01623397649229169,0.21510293221594404,0.0106048563395718,0.38290207272525895,0.1589438475463818,0.2098784309535179
63,0.030018699417131,0.20386900302338673,0.05260602872687896,0.3630316410015247,0.06224758458973244,0.2942483946671624
64,0.030004953683138956,0.20269694713655062,0.05316577921844549,0.36438075056636293,0.06198334225191752,0.29486531071163097
65,0.03369216323372987,0.20091326645555363,0.065633576921887,0.3449509063705485,0.04881440937052211,0.3402599753506472
66,0.03319562157708844,0.20397813723096872,0.06250428884048666,0.3455012054299041,0.05111164721247793,0.33138226196461223
67,0.0342464187601847,0.20561774793474757,0.06493572174657346,0.33800958367412637,0.04818011360796533,0.343287092862567
68,0.031141569162546647,0.2098585254533593,0.05309363173836156,0.3510167408960737,0.059629335475076234,0.30275091696608036
69,0.03386149183218292,0.21399819772946388,0.059539599787545715,0.3331592632601258,0.05129163709029875,0.3316643199026671
70,0.028336568738114375,0.21259092085734718,0.043114071703216586,0.3600865219171305,0.07142890212632017,0.2723808678938921
71,0.03009001694562586,0.20528182004667203,0.05210806317376237,0.36111799739067885,0.062355940471398814,0.29411824670303705
72,0.03421099308545685,0.20354271073819882,0.06588645312357959,0.3398669980253016,0.047817852146459165,0.3446247224243312
73,0.030847133945613142,0.21507494340119473,0.049626719205323085,0.34673613968667827,0.062050412411155324,0.29632587275836375
74,0.036567157900587885,0.22266902361663407,0.06373163650012122,0.30877940046610003,0.04494361754794561,0.3560251664893932
75,0.039745086839457114,0.2252530938588582,0.07218898177641506,0.28643235777430487,0.037074524624264714,0.39310193668234106
76,0.03691561675389732,0.22482630266665538,0.06378466496453522,0.30492270441527947,0.04438535720228705,0.35828328422894706
77,0.030968499823656043,0.21707947396462662,0.049046182893956285,0.34399158910239547,0.06210270450875121,0.29647041635776483
78,0.024168437852502462,0.21545071545749822,0.029884029693461635,0.36908995887383306,0.0921869859831282,0.23828705043533843
79,0.03217658639640422,0.2190256437323835,0.0518620592232459,0.33678018280867295,0.05816738589579862,0.30843532794869066
80,0.024116161969443935,0.2107327329005193,0.03174246949670432,0.3776475625636601,0.09088102040031408,0.23850635365134007
81,0.03506740422801665,0.19995934572546284,0.07036958415207871,0.3362961232044005,0.044474580149107275,0.3592124823273204
82,0.034515435859743974,0.21241834961667597,0.06235487885072253,0.3304015765681295,0.04887496097773951,0.34089524176269514
