,T,I,D,c,kxmax,L,p50,ps
93,5,500.0,0.010133333333333333,0.5280570135933451,0.5855159251798171,0.6707422913648692,0.7507687964969477,0.9149780604449169
94,5,500.0,0.013444444444444445,0.5236677129878332,0.5634231407675909,0.6686844144799707,0.7597796716051212,0.971539418897563
95,5,500.0,0.016755555555555555,0.5101919603483182,0.5406067736511865,0.6687495203223783,0.7072655426245664,0.9098191520640528
96,5,500.0,0.020066666666666663,0.46171996957171096,0.5616723104730443,0.6978171803234317,0.7021901783700456,0.9897974993311187
97,5,500.0,0.023377777777777775,0.5488073433304061,0.6470453840113705,0.7851260421652855,0.8549278931817644,0.9860562373877794
98,5,500.0,0.026688888888888887,0.49944397482623876,0.5397573978106797,0.6291279062352946,0.7260205998753853,0.9491561568311355
99,5,500.0,0.03,0.5028973589923221,0.564209698118818,0.6435426216697429,0.8108444931950686,0.9632880418093428
100,30,50.0,0.0002,0.0015630139034661901,0.0003737949405289839,0.993536465505599,0.0032021198411740694,0.0007615095589365402
101,30,50.0,0.003511111111111111,0.49508195163802166,0.622293502268779,0.5782406043866494,0.573549979953122,0.8522895601258286
102,30,50.0,0.006822222222222222,0.5107290417273418,0.6790679803721348,0.6206167738497712,0.7110112822494725,0.904664748959639
103,30,50.0,0.010133333333333333,0.5509104284335055,0.5950446957080753,0.6186940282818271,0.6860012290768249,0.8467120706762972
104,30,50.0,0.013444444444444445,0.5532683615658165,0.5837905540870479,0.6778161965346142,0.7384795059469632,0.9548105739068806
105,30,50.0,0.016755555555555555,0.4726583607214586,0.5434334586108148,0.639357283257194,0.7853269733450468,0.9396410457169916
106,30,50.0,0.020066666666666663,0.4887228616336921,0.6266476749843404,0.6960031822157983,0.7928556098598143,1.0265348101908802
107,30,50.0,0.023377777777777775,0.5423256878436283,0.5693871985270619,0.7012848876409591,0.7999642638412491,1.0133001702053768
108,30,50.0,0.026688888888888887,0.4393769572942253,0.6067665906686042,0.7080543274457428,0.741720898688801,0.9033379728466155
109,30,50.0,0.03,0.48991537881525266,0.5323314715460307,0.6846306938209453,0.7582077171756004,0.9093541473653395
110,30,100.0,0.0002,0.001563309442047645,0.00037404996402973624,0.993535363933215,0.003202661979359862,0.0007615825982436496
111,30,100.0,0.003511111111111111,0.5155064267718701,0.6201713213540947,0.5919734381745403,0.6147052786665902,0.8844121111205139
112,30,100.0,0.006822222222222222,0.5217626786092517,0.5923265962386415,0.6361375320026862,0.7237826948897831,0.9035628408579012
113,30,100.0,0.010133333333333333,0.550910818320955,0.5950312479311758,0.618703083778897,0.686017198837061,0.8467160347589543
114,30,100.0,0.013444444444444445,0.5532628843016084,0.5837654579018338,0.6778152534469527,0.7384745462655179,0.9548094338610701
115,30,100.0,0.016755555555555555,0.4726627388897121,0.5434233506499829,0.6393685115047537,0.7853293994702778,0.939631406094232
116,30,100.0,0.020066666666666663,0.4887286309325049,0.6266432039986868,0.6960070247901267,0.7928648627247618,1.0265383498003373
117,30,100.0,0.023377777777777775,0.5423214012824,0.5693882882347179,0.7012927794540574,0.799970956007468,1.0132994738625467
118,30,100.0,0.026688888888888887,0.5028126467794961,0.5561754321061826,0.6696242306621639,0.7398989832617331,0.8814129043404033
119,30,100.0,0.03,0.4899182370541934,0.5323257744214571,0.6846323410541384,0.7582074723983895,0.909352623265053
120,30,150.0,0.0002,0.0015633408285012469,0.0003740781644099936,0.9935352456042228,0.00320271915000098,0.0007615899433229404
