Days,c,kxmax,p50,L,ps
103,0.48060641973247165,0.49349246515216244,0.6939333613246349,0.621002583028883,0.8608150462874535
104,0.8390454877647188,0.09762398328996201,0.6383862647260313,0.7465281828896672,0.9505803321905335
105,0.0013193417269115949,0.0001958536752771683,0.0026126164860831753,0.9949142222941315,0.0006894551428300022
106,0.838213832603941,0.10022376135248899,0.6384646880483776,0.7455472441416447,0.9513330207674622
107,0.4519088108642147,0.5340256130465375,0.6143944938075542,0.7003469520218636,0.8217667945993451
108,0.0015271444962702868,0.00032045078821453917,0.0029776786285808975,0.9938989537021987,0.0007325571626985456
109,0.2397214392811688,0.6238570193938169,0.30936716228064387,0.904919995790952,0.9349396285969643
110,0.838884064108669,0.09812343624912416,0.6383913637602407,0.7463382964348892,0.9507230307852379
111,0.45165401712720205,0.6251516214393069,0.6621630378332831,0.7022694619038438,0.9360964274601654
112,0.47854270545058974,0.5082599610055926,0.5775071071029745,0.6322631206067796,0.805938873340033
113,0.5342446864636178,0.5800214077895501,0.6168376734084775,0.6694767309569742,0.8731395944595733
114,0.24021047582308608,0.6240602943166643,0.3097173890145398,0.9046414535829417,0.9352488996666184
115,0.5618542638796616,0.4135149815190057,0.6758971871440819,0.6697957275659189,0.7731494839725194
116,0.6111743218863789,0.23620739463062898,0.38829724361719525,0.15244645859047726,0.7216196093863176
117,0.4517618346295142,0.5338375481954102,0.6142768031007562,0.7002717247600513,0.8217732822429331
118,0.4787467487786316,0.5981747426757831,0.6667212792884365,0.7054636805807004,0.8885160352897218
119,0.00888093779863579,0.010771281461073699,0.8401483212512233,0.15432413352445376,0.842961105796331
120,0.0071188739338816686,0.008965849720682621,0.8406267024700035,0.1542602172974364,0.8435288299931879
121,0.4927329154948434,0.5005597629619997,0.529518077223222,0.6191602855929521,0.9270193352239393
122,0.5095241895276947,0.5533313804360048,0.6510071743818859,0.6863151866817566,0.8929503637634465
123,0.570964705279029,0.568833511024765,0.6143522924886002,0.6435272730401229,0.8282643946105668
124,0.5315714066280623,0.6119262648544802,0.6114290466679098,0.5813486392160409,0.8560540649303908
125,0.5331288767748956,0.3702408166188842,0.6502477863008784,0.6337534395257335,0.8600782418895363
126,0.6484267435395565,0.48844772710307205,0.7656014071321142,0.6263981817536715,0.9462977284887675
127,0.4458846377818654,0.6141911212882302,0.6462354701418285,0.6698562996521094,0.8459969119037962
128,0.5083822696798469,0.5131081206804926,0.6197953177060319,0.6344148287922632,0.8859878847934255
129,0.4983141680782636,0.5177387557547536,0.6159454706053563,0.6862089209751251,0.833823572466202
130,0.4826109534609025,0.5684151098462423,0.641232297802656,0.7000178384700297,0.9309624202486974
131,0.49773607608396,0.5385724149072242,0.6078316827277107,0.6777277216925188,0.9737070045998258
132,0.47221306548404335,0.5909565251815387,0.651451821670591,0.7106203206265534,0.8984605124572976
133,0.5331429406387853,0.6151835719069793,0.7039683330864627,0.7797535410817122,0.9741665549291363
134,0.4973783048176186,0.5087679631501292,0.5705366182476775,0.5992960662438584,0.8176902232236329
135,0.5216619641514979,0.6058548275657407,0.6802765153339007,0.747028050081962,0.9819481568397378
136,0.5201895138960451,0.5973174709991147,0.6924681936764927,0.7916843138455361,0.9252962901506819
137,0.5113793045850618,0.5755618741928394,0.639451489038108,0.6358586863671462,0.8793497698318826
