Days,alpha,c,g1,kxmax,p50,L,ps
19,0.3733457227086274,0.4556991200507366,0.5756377504036452,0.6619387419143372,0.7311469489574212,0.918169726184694,0.8984912616885714
20,0.49599373420111426,0.5488570360140161,0.6250219106754041,0.6828175363951844,0.7644449007691047,0.8401173786350631,1.0192035776044657
21,0.42339989091734226,0.5194098500587359,0.6335163504713257,0.6682084553451435,0.7195881860505856,0.801914787494721,0.9135056898985807
22,0.4415882773658961,0.6482664426696916,0.6514935214318055,0.7796978633060613,0.8736723222608717,0.8984657556739436,0.973811089970057
23,0.5063488970994577,0.5234083556003132,0.6157815278090276,0.6650422835854697,0.7509509859133295,0.8366532951559648,0.9182279105104842
24,0.3891707184256879,0.39789859864377236,0.5443072454303326,0.7120320453759189,0.7455673857544741,0.8840910260826264,1.1192195162338947
25,0.4165463215829649,0.5349587042843355,0.6027766684876361,0.7467568788592484,0.8140914474621235,0.8603811422004954,0.8911261597527871
26,0.4564073546775564,0.4815448201090883,0.6417931579702552,0.7052313153454017,0.8123518369381133,0.8677452280550538,1.0116016009181579
27,0.4360745412328188,0.48399671603152583,0.59932478612407,0.7455336944523031,0.7727205588544183,0.8692176761287413,0.9392796937870903
28,0.36471634297101785,0.45522583931966415,0.5697871307105503,0.6713040559181779,0.7372815531972952,0.7858697253107598,0.994285634321419
29,0.4160715531892582,0.4732506573528893,0.5620500992884505,0.6067775159192017,0.772816712870075,0.8804970409588354,0.9915510997146202
30,0.41521534659804127,0.4375717033332888,0.5794057447408804,0.7274984832781702,0.7465751847470287,0.8634756470205107,0.9513659281783959
31,0.3950984170111387,0.46991188879519313,0.5179160548401014,0.5928708781335977,0.6711848831929965,0.8050707614114497,0.9622753616997961
32,0.5479415629621979,0.5455929842369549,0.6794297130836451,0.7521273632364196,0.8545608067093483,0.9377050188918479,0.9724562512048476
33,0.47280506077784934,0.5353240472527586,0.6476447060017683,0.6850979818551696,0.7529435666558301,0.8615786425079746,0.8488406216043024
34,0.45877491482732813,0.5671615472301831,0.5793418457057233,0.6849598445078992,0.7171648967232043,0.7947872180652601,1.0250131763428507
35,0.38211483424160025,0.465330529770206,0.5700334203529621,0.6595664570163907,0.7912628916097956,0.8282455143564104,1.024009337025893
36,0.4103470660915426,0.44559436345651776,0.5744501880834497,0.7266988802593097,0.7436871871611122,0.8779973943694354,0.9392587588179098
37,0.4113804224704585,0.5074109754074377,0.5761032492835549,0.6748827529208573,0.7393184450342848,0.8117435940780857,0.9391027919196316
38,0.44741451092709394,0.5257910203663343,0.6314238187297292,0.706612513877788,0.7205385333760586,0.8441843170441595,0.9630098404768442
39,0.4222665165694593,0.5214591502825381,0.5535782881334783,0.7193068859579128,0.7382160335751532,0.8360444523828956,0.9598416729402899
40,0.42667763091541944,0.514441509979422,0.5808722447528811,0.6589641001695246,0.7077516975676454,0.8231394443485142,0.9205088608652949
41,0.44717020780124306,0.4779571212620278,0.5448765951253565,0.687452703411005,0.728009685489377,0.8658252775483659,0.9735262989440897
42,0.3922106454796808,0.4951095721394734,0.5720362596255588,0.6936677523548882,0.7344730784525517,0.8571579169485927,0.9394213372446594
43,0.47482286729007067,0.4880438510458224,0.562705755466977,0.6433017449806764,0.7062960390381214,0.7962690678795099,0.9282691731318771
44,0.4163223556261027,0.49135677067123534,0.48432003650551,0.6382161276129351,0.6779139566814869,0.7526338720419871,0.8881364333693073
45,0.44009990836545115,0.5230517060838624,0.5836420490550436,0.6966291723289535,0.7936181870997637,0.8811066296056478,0.9733890860270367
46,0.45450589584467405,0.48967219203829776,0.5519187452718745,0.64973242023739,0.7077484447774296,0.8520670688139511,0.9416064266901568
47,0.5223127185005733,0.5576231712806308,0.6089020787200984,0.7297214017776653,0.8465257241408038,0.8910547019841595,1.0136374108398383
48,0.4387935453130667,0.43224208779722434,0.6061730494425214,0.7343488670491924,0.7985257913562,0.9514294227038723,0.9781115823406615
49,0.4442810567640024,0.4376681870061503,0.5275469551591785,0.6285428589960447,0.7602921549906279,0.860979945679951,0.9102123283615444
50,0.3957901992986369,0.5249864276652869,0.5505943898887624,0.681919070518576,0.7881884849477364,0.8134053562887468,1.0335905628048703
51,0.42782011362681843,0.4441974694980682,0.5229908359434101,0.6527424872956723,0.8171236620356925,0.8495755700678324,0.9516259439830441
52,0.4612117123293914,0.44074540107428095,0.5654229476642982,0.6525795570610735,0.7319498227761363,0.798782161926448,0.956300636575509
53,0.44074587522321873,0.4505419365944768,0.5059623715268752,0.6474355226743566,0.6912054909831431,0.7755498582690066,0.9174055410613324
54,0.46039727175259987,0.4620722179206214,0.6012139488082776,0.6990633221515469,0.7934898338245833,0.8294801911194007,1.0226103582612094
55,0.49345318616917505,0.5471354743996866,0.5974413407609578,0.7335250904828791,0.7779800127384059,0.8732839634501979,1.0078979251128022
56,0.41769664546506663,0.46806594931775464,0.5293951000194094,0.6291201005591308,0.7148457602258869,0.7931350449809603,0.9826450677100144
57,0.4256130255843049,0.5549703842863775,0.612738225926316,0.7417079356585509,0.856246960906615,0.8729598510502001,1.0935710259830298
58,0.43076701141136997,0.48184520595818786,0.5073819795751999,0.6973004931739484,0.7080921116782438,0.7789415817852687,0.9372996650546134
59,0.40808981276408396,0.4786989551448261,0.6072635282845963,0.6350573344482623,0.6995364740919743,0.8192247872077194,1.0255800784542282
